verdantix_id,Scope 1 Emissions Year,Scope 1 Emissions,Scope 2 Emissions Year,Scope 2 - Location,Scope 2 ,Scope 2 - market,Scope 3,Baseline Year (Scope 1),Base Year Emissions - Scope 1,Baseline Year (Scope 2),Base Year Emissions - Scope 2,Baseline Year (Scope 3),Base Year Emissions - Scope 3,NZ Target Year: Scope 1,NZ Target Year: Scope 2,NZ Target Year: Scope 3,Interim Target Year 1: Scope 1,Interim Target Year 2: Scope 2,Interim Target Year 2: Scope 3,Interim Target % 1: Scope 1,Interim Target % 1: Scope 2,Interim Target % 1: Scope 3
V000001,2022,17015,2022,0,73322,73222,517033,2019,17121,2019,93781,2019,419169,2050,2050,2050,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000002,2022,8526,2022,7837,7837,563,4869,2019,14180,2019,22690,2019,13884,2030,2030,2040,2030,2030,Not disclosed,0.9,0.9,0
V000003,2022,23280,2022,61136,53492,39370,29586,2019,37889,2019,88558,2019,115882,2050,2050,2050,2025,2025,2025,0.25,0.35,0.18
V000004,2022,43664,2022,41770,41770,18310,3130824,2019,44023,2019,63813,2019,27144,2030,2030,2050,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000005,2022,121418,2022,118710,124076,109250,401185,2019,714636,2019,331677,2019,464101,Not disclosed,Not disclosed (0),2050,2035,2035,Not disclosed,0.4,0.4,0
V000006,2021,0,2021,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000007,2022,0,2022,0,4437,0,8275,2019,4203,2019,13052,2019,24429164,2025,2025,2050,2025,2025,Not disclosed,0.74,0.74,0
V000008,2022,15046,2022,18819,18819,10920,25791,2019,20929,2019,35344,2019,16233,2050,2050,2050,2030,2030,2030,0.5,0.5,0.5
V000009,2022,18668,2022,24767,11278,2756,38995,2019,23709,2019,25333,2019,29817,2030,2030,2050,2025,2025,2025,0.55,0.55,0.5
V000010,2020,12464,2020,47108,51893,7667,2151,2019,19684,2019,87026,2019,5461963.15,2050,2050,2050,2030,2030,Not disclosed,0.5,0.5,0
V000011,2021,4170,2021,12828,16366,480,2101,2019,6138,2019,35659,2019,10739,2050,2050,2050,2025,2025,2025,0.25,0.25,0.25
V000012,,,0,,,,,,,,,,,,,,,,,,,
V000013,2020,1645,2020,19880,36638,16938,8793,2016,18047,2016,83811,2019,6248,2050,2050,2050,Not disclosed,25,25,20.3,20.3,0
V000014,2020,0,2020,62638,47022,15015,25296,2019,31094,2019,54329,2019,45308,Not disclosed,Not disclosed,Not disclosed,2025,2025,Not disclosed,0.35,0.35,0
V000015,2021,12722,2021,29729,39099,29226,6132,2017,8143,2017,57078,2021,6132,2050,2050,2050,2030,2030,Not disclosed,0.55,0.55,0
V000016,2021,7406,2021,0,414,414,8542,2019,9844,2019,3492,2019,9404,2022,2022,2050,2024,2024,Not disclosed,0.35,0.35,0
V000017,2021,13566,2021,14270,NULL,10075,NULL,2019,NULL,2019,NULL,2019,NULL,2030,2030,2050,2027,2027,Not disclosed,0.72,0.72,0
V000018,2020,4000,2020,7000,7000,3000,2000,2019,2000,2019,4369.5,2019,16000,2040,2040,2050,2025,2025,2025,0.45,0.45,0
V000019,2022,30953,2022,138339,138339,30490,92467,2019,42011,2019,224315,2019,149459,2030,2030,2050,2025,2025,2025,0.5,0.5,0.4
V000020,2021,19933,2021,0,31340,24393,42040,2016,26146,2016,70878,2016,18974,Not disclosed,Not disclosed,Not disclosed,2025,2025,Not disclosed,0.2,0.2,0
V000021,2022,2902,2022,7932,7868,64,26103,2018,4246,2018,15541,2018,69426.72,2030,2030,2050,2030,Not disclosed,Not disclosed,0.53,0,0
V000022,2020,91200,2020,8045400,6576239,2492200,9503000,2019,63500,2019,4344700,2019,1292268,2030,2030,2030,2030,2030,2030,0.5,0.5,0.5
V000023,2021,0,2021,0,NULL,0,NULL,2019,NULL,2019,NULL,2019,NULL,2030,2030,2030,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000024,2021,1060,2021,8610,8610,94,114063,2020,2270,2020,100,2020,186183,2050,2050,2050,2030,2030,2030,0.5,0.5,0.55
V000025,2022,1205.6,2022,4589.6,4589.6,0,3812368,2020,NULL,2020,NULL,2022,NULL,2030,2030,2030,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000026,2021,79000,2021,330000,688612,183000,531800,2010,124633,2010,1133030,2010,1257500,2030,2030,2030,2025,2025,Not disclosed,0.65,0.65,0
V000027,2021,1366.5,2021,0,5302.21,4344.9,880790000,2021,NULL,2021,NULL,2021,NULL,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,0,0,0
V000028,20123,1304,20123,9677.61,NULL,0,NULL,2018,2045,2018,7622,2018,NULL,2040,2040,2040,2030,2030,Not disclosed,0.5,0.5,0
V000029,2022,66934,2022,3921611,3080000,273,5651000,2021,42000,2021,1241000,2017,156000,2020,2020,2030,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000030,2022,139413,2022,6381250,6381250,288029,17081000,2020,99008,2020,2946043,2020,16913283,2030,2030,2030,Not disclosed,Not disclosed,2030,0,0,0.5
V000031,2022,10237,2022,787719,349022,262339,1543540,2020,14763,2020,513072,2020,649542.85,2050,2050,2050,2030,2030,2030,0.5,0.5,0.5
V000032,2022,4000,2022,280000,280000,67000,1267000,2019,4000,2019,236000,2019,84000,2050,2050,2050,2030,2030,2030,0.5,0.5,0.5
V000033,2020,107500,2020,175300,175000,125600,10405000,2016,NULL,2016,NULL,2016,102300,2030,2030,2030,2025,2025,2025,0.4,0.4,0.4
V000034,2022,2270,2022,41979,33880,635,178416,2019,NULL,2019,NULL,2019,NULL,2030,2030,2030,2026,2026,2026,0.7,0.7,0.4
V000035,2022,15987,2022,105773,NULL,108970,NULL,2019,NULL,2019,NULL,2019,NULL,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000036,2022,3650,2022,60380,65859,844,373464,2019,2555,2019,59466,2019,85181,2030,2030,2030,2030,2030,2030,0.5,0.5,0.5
V000037,2022,2660,2022,60927,45821,0,26045,2020,1816,2020,33894,2020,29435,2020,2020,2050,Not disclosed,Not disclosed,Not disclosed,0,0,0
V000038,2022,6568,2022,57168,58907,22936,424344,2018,12119,2018,58874,2018,36770,Not Stated,Not Stated,Not Stated,2025,2025,2025,0.35,0.35,0.3
V000039,2022,3900,2022,101400,101400,6700,575000,2019,10700,2019,57400,2019,NULL,2040,2040,2040,2025,2025,Not stated,0.25,0.25,0
V000040,2022,13375.45,2022,74157.58,76092,63544.57,38540,2019,7972,2019,92669,2019,NULL,2050,2050,2050,2025,2025,Not disclosed,0.252,0.252,0
V000041,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,0,0,0
