lookup,verdantix_id,Scope ,Actual/Projection,2016,2017,2018,2019,2020,2021,2022
V000001Scope 1,V000001,Scope 1,Actual,582,265,,17121,6156,17015,
V000002Scope 1,V000002,Scope 1,Actual,19210,17915,16198,14180,10610,10594,8526
V000003Scope 1,V000003,Scope 1,Actual,47595,43245,38778,37889,26292,23362,
V000004Scope 1,V000004,Scope 1,Actual,47761,47880,45730,44023,44105,47598,43664
V000005Scope 1,V000005,Scope 1,Actual,,464258,705994,714636,555933,162749,
V000006Scope 1,V000006,Scope 1,Actual,,,,,,,
V000007Scope 1,V000007,Scope 1,Actual,1078,1203,3463,4203,4913,4812,2684
V000008Scope 1,V000008,Scope 1,Actual,27260,23214,21773,20929,13850,17422,15046
V000009Scope 1,V000009,Scope 1,Actual,25078,27167,23293,23709,16437,,
V000010Scope 1,V000010,Scope 1,Actual,17555,25948,25617,19684,14515,12052,
V000011Scope 1,V000011,Scope 1,Actual,,,5011,6138,,5557,
V000013Scope 1,V000013,Scope 1,Actual,18047,18197,16902,7332,5637,4076,
V000014Scope 1,V000014,Scope 1,Actual,21477,21629,21275,31094,24267,24466,
V000015Scope 1,V000015,Scope 1,Actual,12920,8143,14311,17247,12953,11381,
V000016Scope 1,V000016,Scope 1,Actual,8660,8667,9341,9844,9313,8585,7406
V000017Scope 1,V000017,Scope 1,Actual,,,,,,,
V000018Scope 1,V000018,Scope 1,Actual,3000,5000,3000,2000,4000,4000,4000
V000019Scope 1,V000019,Scope 1,Actual,56856,51838,46734,42011,28714,28699,30953
V000020Scope 1,V000020,Scope 1,Actual,26146,27211,26048,26332,16313,19933,
V000021Scope 1,V000021,Scope 1,Actual,3952.8,3536.28,4246,4322,2901,2665,2902
V000022Scope 1,V000022,Scope 1,Actual,66218,66549,63500,66700,38700,45100,
V000023Scope 1,V000023,Scope 1,Actual,,,,,1030,3090.79,
V000024Scope 1,V000024,Scope 1,Actual,2040,1880,2270,2650,983,867,589
V000025Scope 1,V000025,Scope 1,Actual,,,,1159.3,1016.1,1269.4,1205.6
V000026Scope 1,V000026,Scope 1,Actual,133623,124901,124633,117723,90906,91955,
V000027Scope 1,V000027,Scope 1,Actual,,,,,892.42,1201.74,
V000028Scope 1,V000028,Scope 1,Actual,,3176,2045,1912,1770,1304,
V000029Scope 1,V000029,Scope 1,Actual,9000,25000,42000,44000,29000,55000,
V000030Scope 1,V000030,Scope 1,Actual,94651,107452,99008,117956,118100,123704,139413
V000031Scope 1,V000031,Scope 1,Actual,14953,14476,14763,17084,16520,10300,
V000032Scope 1,V000032,Scope 1,Actual,3000,4000,4000,5000,6000,1000,6000
V000033Scope 1,V000033,Scope 1,Actual,,,,,,96000,108000
V000034Scope 1,V000034,Scope 1,Actual,,,,2035,1915,1401,
V000035Scope 1,V000035,Scope 1,Actual,,,,,,,
V000036Scope 1,V000036,Scope 1,Actual,3446,,2555,4454,5501,2788,2685
V000037Scope 1,V000037,Scope 1,Actual,1186,1420,1816,2040,1733,1470,1834
V000038Scope 1,V000038,Scope 1,Actual,11082,11361,12119,11817,9598,4923,
V000039Scope 1,V000039,Scope 1,Actual,,9445,10700,9900,3000,2600,3900
V000040Scope 1,V000040,Scope 1,Actual,,,7972,15108,23449,21760,
V000041Scope 1,V000041,Scope 1,Actual,,,,,,,
V000001Scope 2,V000001,Scope 2,Actual,12135,9781,,93781,71106,73322,
V000002Scope 2,V000002,Scope 2,Actual,41008,31280,25012,22690,12613,9429,7837
V000003Scope 2,V000003,Scope 2,Actual,114231,94756,69160,88558,63914,53492,
V000004Scope 2,V000004,Scope 2,Actual,83390,79426,68237,63813,51933,47751,41770
V000005Scope 2,V000005,Scope 2,Actual,,293348,338196,331677,253387,124076,
V000006Scope 2,V000006,Scope 2,Actual,,,,,,,
V000007Scope 2,V000007,Scope 2,Actual,2286,2754,12533,13052,10065,8342,4437
V000008Scope 2,V000008,Scope 2,Actual,62187,51111,42406,35344,18541,28695,18819
V000009Scope 2,V000009,Scope 2,Actual,33417,33248,27563,25333,11278,,
V000010Scope 2,V000010,Scope 2,Actual,109631,108055,96503,87026,66332,51893,
V000011Scope 2,V000011,Scope 2,Actual,,,47142,35659,,16366,
V000013Scope 2,V000013,Scope 2,Actual,83811,79905,71835,48900,43120,36638,
V000014Scope 2,V000014,Scope 2,Actual,53333,48537,47478,54329,48955,47022,
V000015Scope 2,V000015,Scope 2,Actual,61693,57078,73499,57120,46061,39099,
V000016Scope 2,V000016,Scope 2,Actual,6578,2935,3439,3492,782,516,414
V000017Scope 2,V000017,Scope 2,Actual,,,,,,,
