lookup,verdantix_id,Scope,Actual/Projection,Year,Emissions (tCO2e)
V000001Scope 1,V000001,1,Projection,2019,17121.0
V000001Scope 1,V000001,1,Projection,2020,16574.232580645163
V000001Scope 1,V000001,1,Projection,2021,16027.465161290322
V000001Scope 1,V000001,1,Projection,2022,15480.697741935484
V000001Scope 1,V000001,1,Projection,2023,14933.930322580645
V000001Scope 1,V000001,1,Projection,2024,14387.162903225806
V000001Scope 1,V000001,1,Projection,2025,13840.395483870969
V000001Scope 1,V000001,1,Projection,2026,13293.62806451613
V000001Scope 1,V000001,1,Projection,2027,12746.86064516129
V000001Scope 1,V000001,1,Projection,2028,12200.093225806451
V000001Scope 1,V000001,1,Projection,2029,11653.325806451612
V000001Scope 1,V000001,1,Projection,2030,11106.558387096775
V000001Scope 1,V000001,1,Projection,2031,10559.790967741936
V000001Scope 1,V000001,1,Projection,2032,10013.023548387097
V000001Scope 1,V000001,1,Projection,2033,9466.25612903226
V000001Scope 1,V000001,1,Projection,2034,8919.48870967742
V000001Scope 1,V000001,1,Projection,2035,8372.72129032258
V000001Scope 1,V000001,1,Projection,2036,7825.953870967742
V000001Scope 1,V000001,1,Projection,2037,7279.186451612903
V000001Scope 1,V000001,1,Projection,2038,6732.419032258065
V000001Scope 1,V000001,1,Projection,2039,6185.651612903226
V000001Scope 1,V000001,1,Projection,2040,5638.884193548387
V000001Scope 1,V000001,1,Projection,2041,5092.11677419355
V000001Scope 1,V000001,1,Projection,2042,4545.3493548387105
V000001Scope 1,V000001,1,Projection,2043,3998.5819354838713
V000001Scope 1,V000001,1,Projection,2044,3451.814516129032
V000001Scope 1,V000001,1,Projection,2045,2905.047096774193
V000001Scope 1,V000001,1,Projection,2046,2358.2796774193557
V000001Scope 1,V000001,1,Projection,2047,1811.5122580645166
V000001Scope 1,V000001,1,Projection,2048,1264.7448387096774
V000001Scope 1,V000001,1,Projection,2049,717.9774193548401
V000001Scope 1,V000001,1,Projection,2050,171.21
V000002Scope 1,V000002,1,Projection,2019,14180.0
V000002Scope 1,V000002,1,Projection,2020,13019.818181818182
V000002Scope 1,V000002,1,Projection,2021,11859.636363636364
V000002Scope 1,V000002,1,Projection,2022,10699.454545454544
V000002Scope 1,V000002,1,Projection,2023,9539.272727272728
V000002Scope 1,V000002,1,Projection,2024,8379.090909090908
V000002Scope 1,V000002,1,Projection,2025,7218.90909090909
V000002Scope 1,V000002,1,Projection,2026,6058.727272727272
V000002Scope 1,V000002,1,Projection,2027,4898.545454545454
V000002Scope 1,V000002,1,Projection,2028,3738.363636363636
V000002Scope 1,V000002,1,Projection,2029,2578.181818181818
V000002Scope 1,V000002,1,Projection,2030,1417.9999999999998
V000003Scope 1,V000003,1,Projection,2019,37889.0
V000003Scope 1,V000003,1,Projection,2020,36310.291666666664
V000003Scope 1,V000003,1,Projection,2021,34731.583333333336
V000003Scope 1,V000003,1,Projection,2022,33152.875
V000003Scope 1,V000003,1,Projection,2023,31574.166666666668
V000003Scope 1,V000003,1,Projection,2024,29995.458333333336
V000003Scope 1,V000003,1,Projection,2025,28416.75
V000003Scope 1,V000003,1,Projection,2026,27295.2356
V000003Scope 1,V000003,1,Projection,2027,26173.7212
V000003Scope 1,V000003,1,Projection,2028,25052.2068
V000003Scope 1,V000003,1,Projection,2029,23930.6924
V000003Scope 1,V000003,1,Projection,2030,22809.178
V000003Scope 1,V000003,1,Projection,2031,21687.6636
V000003Scope 1,V000003,1,Projection,2032,20566.1492
V000003Scope 1,V000003,1,Projection,2033,19444.6348
V000003Scope 1,V000003,1,Projection,2034,18323.1204
V000003Scope 1,V000003,1,Projection,2035,17201.606
V000003Scope 1,V000003,1,Projection,2036,16080.0916
V000003Scope 1,V000003,1,Projection,2037,14958.5772
V000003Scope 1,V000003,1,Projection,2038,13837.0628
V000003Scope 1,V000003,1,Projection,2039,12715.5484
V000003Scope 1,V000003,1,Projection,2040,11594.034
V000003Scope 1,V000003,1,Projection,2041,10472.5196
V000003Scope 1,V000003,1,Projection,2042,9351.0052
V000003Scope 1,V000003,1,Projection,2043,8229.4908
V000003Scope 1,V000003,1,Projection,2044,7107.9764
V000003Scope 1,V000003,1,Projection,2045,5986.4619999999995
V000003Scope 1,V000003,1,Projection,2046,4864.9475999999995
V000003Scope 1,V000003,1,Projection,2047,3743.4331999999995
V000003Scope 1,V000003,1,Projection,2048,2621.9187999999995
V000003Scope 1,V000003,1,Projection,2049,1500.4043999999994
V000003Scope 1,V000003,1,Projection,2050,378.89
V000004Scope 1,V000004,1,Projection,2019,44023.0
V000004Scope 1,V000004,1,Projection,2020,40060.93
V000004Scope 1,V000004,1,Projection,2021,36098.86
V000004Scope 1,V000004,1,Projection,2022,32136.79
V000004Scope 1,V000004,1,Projection,2023,28174.72
V000004Scope 1,V000004,1,Projection,2024,24212.65
V000004Scope 1,V000004,1,Projection,2025,20250.58
V000004Scope 1,V000004,1,Projection,2026,16288.510000000002
V000004Scope 1,V000004,1,Projection,2027,12326.440000000002
V000004Scope 1,V000004,1,Projection,2028,8364.370000000003
V000004Scope 1,V000004,1,Projection,2029,4402.300000000003
V000004Scope 1,V000004,1,Projection,2030,440.23
V000005Scope 1,V000005,1,Projection,2019,714636.0
V000005Scope 1,V000005,1,Projection,2020,696770.1
V000005Scope 1,V000005,1,Projection,2021,678904.2
V000005Scope 1,V000005,1,Projection,2022,661038.3
V000005Scope 1,V000005,1,Projection,2023,643172.4
V000005Scope 1,V000005,1,Projection,2024,625306.5
V000005Scope 1,V000005,1,Projection,2025,607440.6
V000005Scope 1,V000005,1,Projection,2026,589574.7
V000005Scope 1,V000005,1,Projection,2027,571708.8
V000005Scope 1,V000005,1,Projection,2028,553842.9
V000005Scope 1,V000005,1,Projection,2029,535977.0
V000005Scope 1,V000005,1,Projection,2030,518111.1
V000005Scope 1,V000005,1,Projection,2031,500245.19999999995
V000005Scope 1,V000005,1,Projection,2032,482379.3
V000005Scope 1,V000005,1,Projection,2033,464513.39999999997
V000005Scope 1,V000005,1,Projection,2034,446647.5
V000005Scope 1,V000005,1,Projection,2035,428781.6
V000005Scope 1,V000005,1,Projection,2036,400672.584
V000005Scope 1,V000005,1,Projection,2037,372563.56799999997
V000005Scope 1,V000005,1,Projection,2038,344454.55199999997
V000005Scope 1,V000005,1,Projection,2039,316345.53599999996
V000005Scope 1,V000005,1,Projection,2040,288236.52
V000005Scope 1,V000005,1,Projection,2041,260127.504
