lookup,verdantix_id,Scope,Year,Emissions (tCO2e)_projection,Emissions (tCO2e)_actual
V000001Scope 1,V000001,1,2019,17121.0,17121.0
V000001Scope 1,V000001,1,2020,16574.232580645163,6156.0
V000001Scope 1,V000001,1,2021,16027.465161290322,17015.0
V000001Scope 1,V000001,1,2022,15480.697741935484,16468.232580645163
V000001Scope 1,V000001,1,2023,14933.930322580645,15921.465161290324
V000001Scope 1,V000001,1,2024,14387.162903225806,15374.697741935484
V000001Scope 1,V000001,1,2025,13840.395483870969,14827.930322580647
V000001Scope 1,V000001,1,2026,13293.62806451613,14281.162903225808
V000001Scope 1,V000001,1,2027,12746.86064516129,13734.395483870969
V000001Scope 1,V000001,1,2028,12200.093225806451,13187.62806451613
V000001Scope 1,V000001,1,2029,11653.325806451612,12640.86064516129
V000001Scope 1,V000001,1,2030,11106.558387096775,12094.093225806453
V000001Scope 1,V000001,1,2031,10559.790967741936,11547.325806451614
V000001Scope 1,V000001,1,2032,10013.023548387097,11000.558387096775
V000001Scope 1,V000001,1,2033,9466.25612903226,10453.790967741937
V000001Scope 1,V000001,1,2034,8919.48870967742,9907.023548387098
V000001Scope 1,V000001,1,2035,8372.72129032258,9360.25612903226
V000001Scope 1,V000001,1,2036,7825.953870967742,8813.48870967742
V000001Scope 1,V000001,1,2037,7279.186451612903,8266.72129032258
V000001Scope 1,V000001,1,2038,6732.419032258065,7719.953870967744
V000001Scope 1,V000001,1,2039,6185.651612903226,7173.186451612904
V000001Scope 1,V000001,1,2040,5638.884193548387,6626.419032258065
V000001Scope 1,V000001,1,2041,5092.11677419355,6079.651612903228
V000001Scope 1,V000001,1,2042,4545.3493548387105,5532.884193548389
V000001Scope 1,V000001,1,2043,3998.5819354838713,4986.11677419355
V000001Scope 1,V000001,1,2044,3451.814516129032,4439.3493548387105
V000001Scope 1,V000001,1,2045,2905.047096774193,3892.5819354838713
V000001Scope 1,V000001,1,2046,2358.2796774193557,3345.814516129034
V000001Scope 1,V000001,1,2047,1811.5122580645166,2799.047096774195
V000001Scope 1,V000001,1,2048,1264.7448387096774,2252.2796774193557
V000001Scope 1,V000001,1,2049,717.9774193548401,1705.5122580645184
V000001Scope 1,V000001,1,2050,171.21,1158.7448387096783
V000001Scope 1,V000001,1,2051,171.21,611.9774193548383
V000001Scope 1,V000001,1,2052,171.21,65.20999999999822
V000001Scope 3,V000001,3,2019,419169.0,419169.0
V000001Scope 3,V000001,3,2020,405782.6351612903,430602.0
V000001Scope 3,V000001,3,2021,392396.27032258065,517033.0
V000001Scope 3,V000001,3,2022,379009.90548387094,503646.6351612903
V000001Scope 3,V000001,3,2023,365623.5406451613,490260.27032258065
V000001Scope 3,V000001,3,2024,352237.1758064516,476873.90548387094
V000001Scope 3,V000001,3,2025,338850.81096774194,463487.5406451613
V000001Scope 3,V000001,3,2026,325464.44612903224,450101.1758064516
V000001Scope 3,V000001,3,2027,312078.0812903226,436714.81096774194
V000001Scope 3,V000001,3,2028,298691.7164516129,423328.44612903224
V000001Scope 3,V000001,3,2029,285305.3516129032,409942.08129032253
V000001Scope 3,V000001,3,2030,271918.98677419353,396555.7164516129
V000001Scope 3,V000001,3,2031,258532.62193548385,383169.3516129032
V000001Scope 3,V000001,3,2032,245146.25709677418,369782.9867741935
V000001Scope 3,V000001,3,2033,231759.8922580645,356396.62193548377
V000001Scope 3,V000001,3,2034,218373.52741935482,343010.25709677406
V000001Scope 3,V000001,3,2035,204987.16258064515,329623.89225806436
V000001Scope 3,V000001,3,2036,191600.79774193547,316237.52741935465
V000001Scope 3,V000001,3,2037,178214.4329032258,302851.16258064494
V000001Scope 3,V000001,3,2038,164828.06806451612,289464.79774193524
V000001Scope 3,V000001,3,2039,151441.7032258064,276078.43290322553
V000001Scope 3,V000001,3,2040,138055.33838709677,262692.0680645159
V000001Scope 3,V000001,3,2041,124668.97354838706,249305.70322580618
V000001Scope 3,V000001,3,2042,111282.60870967741,235919.33838709653
V000001Scope 3,V000001,3,2043,97896.24387096771,222532.97354838683
V000001Scope 3,V000001,3,2044,84509.87903225806,209146.60870967718
V000001Scope 3,V000001,3,2045,71123.51419354836,195760.24387096748
V000001Scope 3,V000001,3,2046,57737.14935483871,182373.87903225783
V000001Scope 3,V000001,3,2047,44350.784516129,168987.51419354812
V000001Scope 3,V000001,3,2048,30964.419677419355,155601.14935483848
V000001Scope 3,V000001,3,2049,17578.05483870965,142214.78451612877
V000001Scope 3,V000001,3,2050,4191.6900000000005,128828.41967741912
V000001Scope 3,V000001,3,2051,4191.6900000000005,115442.05483870948
V000001Scope 3,V000001,3,2052,4191.6900000000005,102055.68999999983
V000001Scope 3,V000001,3,2053,4191.6900000000005,88669.32516129018
V000001Scope 3,V000001,3,2054,4191.6900000000005,75282.96032258053
V000001Scope 3,V000001,3,2055,4191.6900000000005,61896.595483870886
V000001Scope 3,V000001,3,2056,4191.6900000000005,48510.23064516124
V000001Scope 3,V000001,3,2057,4191.6900000000005,35123.86580645159
V000001Scope 3,V000001,3,2058,4191.6900000000005,21737.500967741944
V000001Scope 3,V000001,3,2059,4191.6900000000005,8351.136129032295
V000001Scope 3,V000001,3,2060,4191.6900000000005,-5035.228709677354
V000004Scope 1,V000004,1,2019,44023.0,44023.0
V000004Scope 1,V000004,1,2020,40060.93,44105.0
V000004Scope 1,V000004,1,2021,36098.86,47598.0
V000004Scope 1,V000004,1,2022,32136.79,43664.0
V000004Scope 1,V000004,1,2023,28174.72,39701.93
V000004Scope 1,V000004,1,2024,24212.65,35739.86
V000004Scope 1,V000004,1,2025,20250.58,31777.79
V000004Scope 1,V000004,1,2026,16288.510000000002,27815.72
V000004Scope 1,V000004,1,2027,12326.440000000002,23853.65
V000004Scope 1,V000004,1,2028,8364.370000000003,19891.58
V000004Scope 1,V000004,1,2029,4402.300000000003,15929.510000000002
V000004Scope 1,V000004,1,2030,440.23,11967.439999999999
V000004Scope 1,V000004,1,2031,440.23,8005.369999999995
V000004Scope 1,V000004,1,2032,440.23,4043.2999999999925
V000004Scope 1,V000004,1,2033,440.23,81.22999999998956
V000004Scope 3,V000004,3,2019,27144.0,27144.0
V000004Scope 3,V000004,3,2020,26277.143225806452,6890.0
V000004Scope 3,V000004,3,2021,25410.286451612905,3969814.0
V000004Scope 3,V000004,3,2022,24543.429677419354,3130824.0
V000004Scope 3,V000004,3,2023,23676.572903225806,3129957.1432258063
V000004Scope 3,V000004,3,2024,22809.71612903226,3129090.2864516126
V000004Scope 3,V000004,3,2025,21942.85935483871,3128223.429677419
V000004Scope 3,V000004,3,2026,21076.00258064516,3127356.572903225
V000004Scope 3,V000004,3,2027,20209.145806451612,3126489.7161290315
V000004Scope 3,V000004,3,2028,19342.289032258064,3125622.859354838
V000004Scope 3,V000004,3,2029,18475.432258064517,3124756.002580644
V000004Scope 3,V000004,3,2030,17608.57548387097,3123889.1458064504
V000004Scope 3,V000004,3,2031,16741.71870967742,3123022.2890322567
V000004Scope 3,V000004,3,2032,15874.86193548387,3122155.432258063
V000004Scope 3,V000004,3,2033,15008.005161290323,3121288.5754838693
V000004Scope 3,V000004,3,2034,14141.148387096773,3120421.7187096756
V000004Scope 3,V000004,3,2035,13274.291612903226,3119554.861935482
V000004Scope 3,V000004,3,2036,12407.434838709678,3118688.005161288
V000004Scope 3,V000004,3,2037,11540.578064516129,3117821.1483870945
V000004Scope 3,V000004,3,2038,10673.72129032258,3116954.291612901
V000004Scope 3,V000004,3,2039,9806.864516129033,3116087.434838707
V000004Scope 3,V000004,3,2040,8940.007741935482,3115220.5780645134
V000004Scope 3,V000004,3,2041,8073.150967741934,3114353.7212903197
V000004Scope 3,V000004,3,2042,7206.294193548387,3113486.864516126
V000004Scope 3,V000004,3,2043,6339.437419354839,3112620.0077419323
V000004Scope 3,V000004,3,2044,5472.580645161292,3111753.1509677386
V000004Scope 3,V000004,3,2045,4605.72387096774,3110886.294193545
V000004Scope 3,V000004,3,2046,3738.8670967741928,3110019.437419351
V000004Scope 3,V000004,3,2047,2872.010322580645,3109152.5806451575
V000004Scope 3,V000004,3,2048,2005.1535483870975,3108285.723870964
V000004Scope 3,V000004,3,2049,1138.2967741935463,3107418.86709677
V000004Scope 3,V000004,3,2050,271.44,3106552.0103225764
V000004Scope 3,V000004,3,2051,271.44,3105685.1535483827
V000004Scope 3,V000004,3,2052,271.44,3104818.296774189
V000004Scope 3,V000004,3,2053,271.44,3103951.4399999953
V000004Scope 3,V000004,3,2054,271.44,3103084.5832258016
V000004Scope 3,V000004,3,2055,271.44,3102217.726451608
V000004Scope 3,V000004,3,2056,271.44,3101350.869677414
V000004Scope 3,V000004,3,2057,271.44,3100484.0129032205
V000004Scope 3,V000004,3,2058,271.44,3099617.156129027
V000004Scope 3,V000004,3,2059,271.44,3098750.299354833
V000004Scope 3,V000004,3,2060,271.44,3097883.4425806394
V000004Scope 3,V000004,3,2061,271.44,3097016.5858064457
V000004Scope 3,V000004,3,2062,271.44,3096149.729032252
V000004Scope 3,V000004,3,2063,271.44,3095282.8722580583
V000004Scope 3,V000004,3,2064,271.44,3094416.0154838646
V000004Scope 3,V000004,3,2065,271.44,3093549.158709671
V000004Scope 3,V000004,3,2066,271.44,3092682.301935477
V000004Scope 3,V000004,3,2067,271.44,3091815.4451612835
V000004Scope 3,V000004,3,2068,271.44,3090948.58838709
V000004Scope 3,V000004,3,2069,271.44,3090081.731612896
V000004Scope 3,V000004,3,2070,271.44,3089214.8748387024
V000004Scope 3,V000004,3,2071,271.44,3088348.0180645087
V000004Scope 3,V000004,3,2072,271.44,3087481.161290315
V000004Scope 3,V000004,3,2073,271.44,3086614.3045161213
V000004Scope 3,V000004,3,2074,271.44,3085747.4477419276
V000004Scope 3,V000004,3,2075,271.44,3084880.590967734
V000004Scope 3,V000004,3,2076,271.44,3084013.73419354
V000004Scope 3,V000004,3,2077,271.44,3083146.8774193465
V000004Scope 3,V000004,3,2078,271.44,3082280.020645153
V000004Scope 3,V000004,3,2079,271.44,3081413.163870959
V000004Scope 3,V000004,3,2080,271.44,3080546.3070967654
V000004Scope 3,V000004,3,2081,271.44,3079679.4503225717
V000004Scope 3,V000004,3,2082,271.44,3078812.593548378
V000004Scope 3,V000004,3,2083,271.44,3077945.7367741843
V000004Scope 3,V000004,3,2084,271.44,3077078.8799999906
V000004Scope 3,V000004,3,2085,271.44,3076212.023225797
V000004Scope 3,V000004,3,2086,271.44,3075345.166451603
V000004Scope 3,V000004,3,2087,271.44,3074478.3096774095
V000004Scope 3,V000004,3,2088,271.44,3073611.452903216
V000004Scope 3,V000004,3,2089,271.44,3072744.596129022
V000004Scope 3,V000004,3,2090,271.44,3071877.7393548284
V000004Scope 3,V000004,3,2091,271.44,3071010.8825806347
V000004Scope 3,V000004,3,2092,271.44,3070144.025806441
V000004Scope 3,V000004,3,2093,271.44,3069277.1690322473
V000004Scope 3,V000004,3,2094,271.44,3068410.3122580536
V000004Scope 3,V000004,3,2095,271.44,3067543.45548386
V000004Scope 3,V000004,3,2096,271.44,3066676.598709666
V000004Scope 3,V000004,3,2097,271.44,3065809.7419354725
V000004Scope 3,V000004,3,2098,271.44,3064942.885161279
V000004Scope 3,V000004,3,2099,271.44,3064076.028387085
V000004Scope 3,V000004,3,2100,271.44,3063209.1716128914
V000007Scope 1,V000007,1,2019,4203.0,4203.0
